field,time
64.0,22924
63.0,22940
65.0,22955
63.0,22971
64.0,22987
63.0,23002
63.0,23018
64.0,23034
64.0,23049
64.0,23065
64.0,23081
63.0,23096
64.0,23112
64.0,23128
63.0,23143
64.0,23159
64.0,23175
64.0,23190
64.0,23206
64.0,23222
64.0,23237
63.0,23253
64.0,23269
64.0,23284
64.0,23300
64.0,23316
64.0,23331
64.0,23350
64.0,23365
64.0,23381
64.0,23397
64.0,23412
63.0,23428
64.0,23444
64.0,23459
64.0,23475
64.0,23491
64.0,23506
65.0,23522
64.0,23538
64.0,23553
64.0,23569
63.0,23585
64.0,23600
64.0,23616
64.0,23631
64.0,23647
64.0,23663
64.0,23678
65.0,23694
64.0,23710
64.0,23725
64.0,23741
64.0,23757
64.0,23772
64.0,23788
64.0,23804
64.0,23819
64.0,23835
64.0,23851
65.0,23866
64.0,23882
64.0,23897
63.0,23913
64.0,23929
64.0,23945
64.0,23960
64.0,23976
64.0,23991
64.0,24007
64.0,24023
64.0,24038
64.0,24054
64.0,24070
64.0,24086
64.0,24101
63.0,24117
65.0,24133
64.0,24148
64.0,24164
64.0,24180
64.0,24195
63.0,24211
64.0,24227
64.0,24242
64.0,24258
64.0,24274
64.0,24289
64.0,24305
64.0,24321
64.0,24336
64.0,24352
64.0,24368
64.0,24383
63.0,24399
64.0,24414
64.0,24430
64.0,24446
63.0,24461
63.0,24477
64.0,24493
63.0,24508
64.0,24524
64.0,24540
64.0,24555
64.0,24571
64.0,24587
64.0,24602
64.0,24618
63.0,24634
64.0,24649
64.0,24665
64.0,24681
64.0,24696
64.0,24712
64.0,24727
64.0,24743
64.0,24759
64.0,24774
64.0,24790
63.0,24806
64.0,24821
64.0,24837
63.0,24852
63.0,24868
64.0,24884
64.0,24899
64.0,24915
64.0,24931
64.0,24946
63.0,24962
64.0,24978
64.0,24993
64.0,25009
64.0,25025
64.0,25040
64.0,25056
64.0,25072
64.0,25087
64.0,25103
64.0,25119
64.0,25134
64.0,25150
64.0,25165
64.0,25181
64.0,25196
64.0,25212
64.0,25228
64.0,25243
64.0,25259
64.0,25275
64.0,25290
64.0,25306
64.0,25322
64.0,25338
64.0,25353
64.0,25369
64.0,25384
64.0,25400
64.0,25416
64.0,25431
64.0,25447
64.0,25463
64.0,25478
63.0,25494
64.0,25510
65.0,25525
64.0,25541
64.0,25559
64.0,25575
64.0,25590
64.0,25606
64.0,25622
64.0,25637
64.0,25653
64.0,25669
64.0,25684
64.0,25700
64.0,25716
64.0,25731
64.0,25747
65.0,25762
63.0,25778
65.0,25794
64.0,25809
64.0,25825
64.0,25840
64.0,25856
64.0,25872
64.0,25887
64.0,25903
63.0,25919
64.0,25934
63.0,25950
64.0,25966
64.0,25981
64.0,25997
63.0,26013
64.0,26028
63.0,26044
64.0,26060
63.0,26075
64.0,26091
64.0,26107
63.0,26122
64.0,26138
64.0,26154
64.0,26169
63.0,26185
64.0,26201
64.0,26216
64.0,26232
64.0,26247
64.0,26263
63.0,26279
64.0,26294
64.0,26310
64.0,26325
64.0,26341
64.0,26356
64.0,26372
64.0,26388
64.0,26403
64.0,26419
63.0,26435
63.0,26450
64.0,26466
64.0,26482
63.0,26497
64.0,26513
64.0,26529
64.0,26544
65.0,26560
64.0,26576
64.0,26591
64.0,26607
64.0,26623
64.0,26639
65.0,26654
64.0,26670
64.0,26686
63.0,26701
64.0,26717
64.0,26733
64.0,26748
63.0,26764
63.0,26780
64.0,26795
64.0,26811
64.0,26827
63.0,26842
64.0,26858
63.0,26874
63.0,26889
64.0,26905
64.0,26920
63.0,26936
64.0,26952
63.0,26967
64.0,26983
63.0,26999
64.0,27014
64.0,27030
63.0,27045
64.0,27061
64.0,27077
63.0,27092
64.0,27108
64.0,27124
64.0,27139
64.0,27155
63.0,27171
64.0,27186
64.0,27202
64.0,27218
64.0,27233
64.0,27249
64.0,27265
64.0,27280
64.0,27296
64.0,27312
64.0,27327
63.0,27343
64.0,27359
64.0,27374
63.0,27390
64.0,27406
64.0,27421
64.0,27437
64.0,27453
64.0,27469
64.0,27484
64.0,27500
63.0,27516
64.0,27531
64.0,27547
64.0,27563
64.0,27578
64.0,27594
64.0,27610
64.0,27625
64.0,27641
63.0,27657
64.0,27672
64.0,27688
64.0,27704
64.0,27719
64.0,27735
64.0,27751
64.0,27766
63.0,27782
64.0,27798
63.0,27813
64.0,27829
63.0,27845
64.0,27860
64.0,27876
64.0,27892
64.0,27907
64.0,27923
64.0,27938
64.0,27954
64.0,27970
63.0,27986
64.0,28001
63.0,28017
64.0,28033
64.0,28048
64.0,28064
64.0,28080
63.0,28095
64.0,28111
63.0,28127
63.0,28142
64.0,28158
63.0,28173
64.0,28189
64.0,28205
64.0,28220
64.0,28236
63.0,28252
64.0,28267
63.0,28283
64.0,28299
